[+] compiling predicates -> /home/vishva/ChainingPaper/confirmed/tcpdump-4.9.2/composition/klee_results/predicates
[+] 66 driver pairs queued, jobs=3
[42/66] 05_10: SAT (instr=414 tests=2) [3070s elapsed]
[43/66] 05_11: SAT (instr=406 tests=2) [3070s elapsed]
[44/66] 05_12: SAT (instr=410 tests=2) [3071s elapsed]
[45/66] 06_07: SAT (instr=969 tests=7) [3071s elapsed]
[46/66] 06_08: SAT (instr=359 tests=5) [3072s elapsed]
[47/66] 06_09: SAT (instr=4057 tests=7) [3073s elapsed]
[48/66] 06_10: SAT (instr=367 tests=5) [3076s elapsed]
[49/66] 06_11: SAT (instr=351 tests=5) [3077s elapsed]
[50/66] 06_12: SAT (instr=359 tests=5) [3077s elapsed]
[51/66] 07_08: SAT (instr=811 tests=5) [3078s elapsed]
[52/66] 07_09: SAT (instr=23165 tests=7) [3079s elapsed]
[53/66] 07_10: SAT (instr=755 tests=3) [3079s elapsed]
[54/66] 07_11: SAT (instr=723 tests=3) [3080s elapsed]
[55/66] 07_12: SAT (instr=739 tests=3) [3080s elapsed]
[56/66] 08_09: SAT (instr=3935 tests=5) [3082s elapsed]
[57/66] 08_10: SAT (instr=190 tests=3) [3082s elapsed]
[58/66] 08_11: SAT (instr=182 tests=3) [3082s elapsed]
[59/66] 08_12: SAT (instr=186 tests=3) [3083s elapsed]
[60/66] 09_10: SAT (instr=11722 tests=4) [3085s elapsed]
[61/66] 09_11: SAT (instr=11016 tests=4) [3087s elapsed]
[62/66] 04_12: UNSAT (instr=14832886 tests=11) [3088s elapsed]
[63/66] 10_11: SAT (instr=169 tests=2) [3088s elapsed]
[64/66] 09_12: SAT (instr=11362 tests=4) [3088s elapsed]
[65/66] 10_12: SAT (instr=165 tests=2) [3089s elapsed]
[66/66] 11_12: SAT (instr=161 tests=2) [3089s elapsed]
[+] wrote /home/vishva/ChainingPaper/confirmed/tcpdump-4.9.2/composition/metrics.csv
[+] wrote /home/vishva/ChainingPaper/confirmed/tcpdump-4.9.2/composition/shared_inputs.csv
[+] total elapsed: 3089s
